Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[32L, 66L, 187L, 217L, 271L, 329L]",0.73,MLR,0.41,0.21,-1.7,-0.94
"[37L, 49L, 84L, 141L, 171L, 185L, 292L, 329L, 349L]",0.81,MLR,0.62,0.36,-2.41,-1.7
"[109L, 123L, 196L, 244L, 262L, 318L]",0.46,MLR,0.32,-0.02,0.17,0.36
"[13L, 38L, 39L, 97L, 141L, 164L, 175L, 254L, 263L, 313L, 327L, 382L]",0.58,MLR,0.54,-0.12,-0.37,0.11
"[84L, 106L, 109L, 181L, 295L, 329L, 330L]",0.6,MLR,0.09,-0.28,-0.16,-0.15
"[67L, 98L, 171L, 175L, 187L, 261L, 278L, 299L, 329L, 357L]",0.4,MLR,0.44,0.11,0.28,0.41
"[8L, 35L, 122L, 141L, 196L, 384L]",0.52,MLR,0.31,0.12,-0.42,-0.46
"[33L, 109L, 132L, 171L]",0.54,MLR,0.35,0.24,-0.7,-0.76
"[1L, 25L, 171L, 184L, 196L, 227L, 239L, 253L, 262L, 337L]",0.57,MLR,0.55,0.21,-0.85,-0.94
"[92L, 141L, 171L, 298L]",0.4,MLR,0.46,0.34,-0.13,0.2
"[10L, 44L, 159L, 298L, 356L, 375L]",0.53,MLR,0.21,-0.01,-0.23,-0.21
"[22L, 43L, 76L, 123L, 191L, 196L, 238L, 329L]",1.26,MLR,0.31,-2.2,-0.64,-0.12
"[24L, 67L, 93L, 175L, 228L]",0.52,MLR,0.11,-0.12,-0.02,-0.31
"[59L, 171L, 187L, 244L, 262L]",0.43,MLR,0.26,0.1,0.12,0.28
"[90L, 133L, 140L, 141L, 249L, 329L, 333L]",0.42,MLR,0.43,0.22,-0.01,-0.06
"[141L, 158L, 316L, 329L]",0.52,MLR,0.15,-0.01,-0.2,-0.04
"[141L, 171L, 180L, 187L, 196L, 349L, 355L, 375L]",0.57,MLR,0.61,-0.14,-0.24,-0.35
