Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[10L, 107L, 303L, 370L]",0.48,MLR,0.13,-0.04,0.06,-0.12
"[35L, 107L, 138L, 267L, 341L, 376L]",0.5,MLR,0.26,0.02,-0.15,-0.11
"[14L, 39L, 95L, 185L, 242L, 308L, 318L]",0.77,MLR,0.18,-0.18,-1.28,-0.46
"[127L, 155L, 248L, 301L]",0.51,MLR,0.17,-0.01,-0.17,0.27
"[38L, 46L, 80L, 95L, 107L, 160L, 188L, 284L, 318L, 327L, 335L]",0.7,MLR,0.31,-0.53,-0.33,-0.35
"[25L, 80L, 183L, 246L, 289L, 314L]",0.56,MLR,0.16,-0.39,0.24,0.32
"[93L, 107L, 164L, 199L, 267L]",0.65,MLR,0.29,-0.57,0.04,0.21
"[89L, 97L, 129L, 270L]",0.62,MLR,0.19,0.06,-0.89,-1.03
"[3L, 139L, 164L, 196L]",0.59,MLR,0.31,0.13,-0.82,-0.74
"[9L, 31L, 76L, 105L, 177L, 200L, 214L, 233L, 244L, 267L, 316L, 323L]",0.74,MLR,0.36,-0.15,-1.19,-0.5
"[30L, 166L, 211L, 316L, 322L]",0.62,MLR,0.1,-0.3,-0.26,-0.49
"[23L, 38L, 145L, 164L]",0.46,MLR,0.29,0.04,0.04,0.2
"[11L, 116L, 156L, 157L, 239L, 251L, 257L]",4.49,MLR,0.31,-0.24,-21.82,-260.74
"[38L, 62L, 107L, 153L, 160L, 265L, 355L]",0.6,MLR,0.13,-0.1,-0.5,-0.48
"[35L, 47L, 167L, 292L, 338L]",0.65,MLR,0.27,-0.09,-0.79,-0.77
"[25L, 80L, 157L, 183L, 246L, 289L, 314L, 359L]",0.59,MLR,0.19,-0.53,0.28,0.4
"[10L, 22L, 59L, 207L, 257L, 258L]",0.46,MLR,0.19,-0.09,0.25,-0.29
"[35L, 107L, 138L, 267L, 341L, 376L]",0.5,MLR,0.26,0.02,-0.15,-0.11
"[215L, 259L, 318L]",0.5,MLR,0.11,-0.08,0.02,-0.32
"[197L, 211L, 319L]",0.59,MLR,0.08,-0.09,-0.46,-0.29
"[38L, 50L, 362L, 382L]",0.55,MLR,0.06,-0.11,-0.18,-0.15
"[80L, 95L, 107L, 126L, 373L, 380L, 382L]",0.52,MLR,0.09,-0.23,0.21,0.02
"[107L, 157L, 245L, 323L]",0.52,MLR,0.15,-0.08,-0.09,0.01
"[107L, 121L, 125L, 157L, 160L, 303L, 351L, 362L, 376L]",0.59,MLR,0.22,-0.19,-0.28,-0.17
"[14L, 39L, 95L, 164L, 185L, 242L, 308L, 318L, 319L]",0.76,MLR,0.25,-0.54,-0.64,0.17
"[54L, 60L, 95L, 105L, 107L, 191L, 204L, 380L]",0.63,MLR,0.22,-0.23,-0.4,-0.26
"[38L, 80L, 95L, 107L, 160L]",0.45,MLR,0.21,0.05,0.09,0.03
"[213L, 225L, 359L]",0.58,MLR,0.06,-0.12,-0.32,-0.6
"[93L, 147L, 216L]",0.53,MLR,0.02,-0.14,-0.01,-0.19
"[17L, 83L, 152L, 218L, 230L, 245L, 254L]",0.53,MLR,0.36,0.13,-0.48,-0.11
"[82L, 123L, 149L, 211L, 224L, 245L, 291L, 299L, 330L, 331L]",0.65,MLR,0.12,-0.31,-0.4,-0.88
"[38L, 77L, 81L, 95L, 107L, 160L, 161L, 353L]",0.55,MLR,0.29,0.04,-0.44,-0.64
"[11L, 27L, 179L]",0.56,MLR,0.27,0.15,-0.69,-0.75
