Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[37L, 153L, 200L, 316L, 375L]",0.55,MLR,0.14,-0.04,-0.3,-0.42
"[177L, 271L, 292L, 323L, 363L]",0.54,MLR,0.14,-0.1,-0.13,-0.1
"[17L, 23L, 102L, 103L, 122L, 176L, 182L, 268L, 330L, 378L, 384L]",0.93,MLR,0.27,-1.19,-0.49,-0.15
"[4L, 87L, 96L, 133L, 152L, 191L, 279L, 306L, 350L]",0.51,MLR,0.38,-0.03,-0.11,0.1
"[14L, 43L, 209L, 318L]",0.5,MLR,0.08,-0.12,0.1,-0.01
"[10L, 39L, 109L, 136L, 250L, 264L]",0.54,MLR,0.23,-0.32,0.2,0.22
"[60L, 97L, 128L, 202L]",0.55,MLR,0.09,-0.11,-0.18,-0.41
"[178L, 204L, 338L, 343L, 356L]",0.57,MLR,0.16,-0.11,-0.31,-0.47
"[67L, 123L, 191L, 262L, 287L, 306L, 372L]",0.52,MLR,0.37,-0.01,-0.22,-0.1
"[11L, 145L, 166L, 179L, 301L, 316L]",0.54,MLR,0.21,0.02,-0.38,-0.22
"[16L, 74L, 136L, 191L, 247L]",0.54,MLR,0.37,0.2,-0.64,0.21
"[37L, 66L, 102L, 237L, 305L]",0.66,MLR,0.1,-0.71,0.23,0.23
"[44L, 138L, 313L, 350L, 376L]",0.51,MLR,0.19,0.02,-0.21,-0.31
"[46L, 71L, 281L, 301L, 325L, 365L]",0.88,MLR,0.15,-0.24,-1.79,-0.79
"[208L, 241L, 273L, 279L, 370L]",0.55,MLR,0.17,-0.06,-0.25,-0.44
"[4L, 102L, 268L, 359L]",0.55,MLR,0.08,-0.14,-0.16,-0.31
"[255L, 286L, 312L, 337L, 379L]",0.51,MLR,0.15,-0.05,-0.05,-0.29
"[2L, 61L, 76L, 103L, 142L, 183L]",0.62,MLR,0.16,-0.53,0.13,0.05
"[2L, 314L, 352L, 360L]",0.52,MLR,0.2,0.04,-0.26,-0.15
"[55L, 67L, 364L, 374L]",0.53,MLR,0.03,-0.18,0.05,-0.18
"[92L, 129L, 359L]",0.54,MLR,0.02,-0.17,-0.05,-0.11
"[95L, 324L, 342L, 361L]",0.55,MLR,0.09,-0.12,-0.15,0.0
"[160L, 196L, 357L]",0.52,MLR,0.02,-0.12,-0.03,-0.09
"[40L, 60L, 360L]",0.55,MLR,0.03,-0.17,-0.06,-0.19
"[66L, 78L, 95L, 158L, 167L, 204L]",0.65,MLR,0.28,-0.07,-0.8,-0.13
"[18L, 71L, 124L, 144L, 205L, 262L, 276L, 326L]",0.49,MLR,0.38,-0.06,0.08,0.12
"[35L, 73L, 124L, 180L]",0.47,MLR,0.3,0.18,-0.23,-0.18
"[28L, 99L, 231L, 371L]",0.43,MLR,0.11,-0.08,0.44,-0.1
"[0L, 25L, 84L, 99L, 193L, 264L, 289L, 308L, 374L]",0.95,MLR,0.32,-1.08,-0.79,-0.69
"[127L, 160L, 167L, 216L, 274L, 333L]",0.57,MLR,0.18,-0.19,-0.18,-0.2
"[212L, 219L, 290L, 315L, 316L, 359L]",0.55,MLR,0.15,-0.16,-0.09,-0.48
"[115L, 159L, 176L, 188L, 331L]",0.64,MLR,0.23,-0.04,-0.81,-1.07
"[4L, 15L, 28L, 40L, 57L, 64L, 109L, 203L, 223L, 291L, 360L]",0.86,MLR,0.28,-0.21,-1.75,-1.33
"[11L, 86L, 129L, 130L, 167L, 183L, 255L, 329L]",0.45,MLR,0.36,0.14,-0.07,-0.0
"[15L, 61L, 74L, 295L]",0.55,MLR,0.16,-0.01,-0.37,-0.3
"[89L, 278L, 294L, 352L]",0.62,MLR,0.15,-0.22,-0.37,-0.85
"[1L, 107L, 133L, 151L, 195L, 202L]",0.59,MLR,0.05,-0.24,-0.19,-0.22
"[35L, 52L, 86L, 111L, 191L, 192L, 235L, 255L, 317L, 337L]",0.7,MLR,0.2,-0.36,-0.62,-1.98
"[139L, 176L, 189L, 269L, 360L]",0.86,MLR,0.27,-1.26,0.05,0.27
"[14L, 39L, 60L, 67L, 127L, 194L, 307L]",0.82,MLR,0.16,-0.1,-1.7,-0.41
"[23L, 82L, 97L, 191L, 262L, 287L, 306L, 372L]",0.43,MLR,0.45,0.07,0.2,-0.9
"[112L, 214L, 253L, 286L, 304L]",0.6,MLR,0.11,-0.14,-0.43,-1.03
"[236L, 267L, 270L, 297L, 307L, 319L, 343L, 366L]",0.52,MLR,0.42,0.12,-0.41,-0.15
"[67L, 232L, 379L]",0.44,MLR,0.11,-0.04,0.27,-0.08
"[65L, 114L, 119L, 132L, 161L, 253L, 268L]",0.65,MLR,0.23,-0.03,-0.86,-2.32
"[79L, 97L, 108L, 122L, 131L, 188L, 219L, 284L, 291L, 338L]",0.77,MLR,0.28,-0.95,0.01,-0.62
"[45L, 50L, 89L, 91L, 98L, 110L, 130L, 171L, 180L, 271L, 315L]",0.54,MLR,0.46,-0.03,-0.28,0.24
"[67L, 232L, 379L, 383L]",0.45,MLR,0.11,-0.05,0.28,-0.09
"[13L, 59L, 104L, 289L, 294L, 299L, 324L, 331L, 341L, 356L, 373L]",0.68,MLR,0.3,-0.1,-0.91,-0.62
"[107L, 190L, 237L, 321L, 328L]",0.67,MLR,0.13,-0.34,-0.45,-0.63
"[21L, 53L, 120L, 171L, 188L, 194L, 255L, 303L, 331L, 347L]",0.85,MLR,0.41,0.03,-2.08,-1.63
"[55L, 111L, 116L, 136L, 219L, 259L, 265L]",0.6,MLR,0.1,-0.29,-0.16,-0.31
"[207L, 208L, 303L, 305L, 366L]",0.53,MLR,0.13,-0.09,-0.13,-0.46
"[142L, 263L, 333L, 371L]",0.48,MLR,0.12,-0.04,0.09,0.2
"[13L, 152L, 219L, 221L, 222L, 292L, 323L]",0.62,MLR,0.3,-0.05,-0.66,-0.71
"[107L, 178L, 194L, 217L, 383L]",0.51,MLR,0.14,-0.07,-0.04,-0.13
"[19L, 40L, 78L, 184L, 200L, 252L, 282L, 345L]",1.23,MLR,0.33,-1.74,-1.23,-0.68
"[111L, 123L, 205L, 295L, 297L, 357L]",0.6,MLR,0.11,-0.25,-0.21,-1.03
"[32L, 102L, 103L, 168L, 301L, 328L]",0.9,MLR,0.19,-0.41,-1.6,-1.53
"[17L, 216L, 381L]",0.52,MLR,0.1,-0.04,-0.13,0.16
"[67L, 196L, 251L]",4.6,MLR,0.12,-0.01,-22.82,-273.62
"[19L, 58L, 205L, 248L, 326L]",0.45,MLR,0.27,0.05,0.11,0.46
"[30L, 95L, 112L, 158L, 205L, 222L]",0.59,MLR,0.06,-0.27,-0.15,-0.1
"[21L, 56L, 95L, 207L, 242L, 332L, 355L]",0.6,MLR,0.21,-0.12,-0.43,-0.37
"[40L, 124L, 133L, 246L, 349L, 360L]",0.55,MLR,0.06,-0.23,0.02,-0.22
"[46L, 251L, 259L, 293L, 320L]",3.02,MLR,0.14,-0.32,-13.56,-159.8
"[19L, 42L, 55L, 157L, 206L, 211L, 247L, 320L, 331L]",0.63,MLR,0.49,0.12,-1.01,-0.94
"[11L, 38L, 233L, 303L, 317L]",0.53,MLR,0.18,-0.08,-0.13,-0.39
"[47L, 125L, 141L, 158L, 250L, 314L]",0.52,MLR,0.19,-0.04,-0.16,0.18
"[68L, 199L, 202L, 251L, 376L]",6.66,MLR,0.19,-0.54,-33.4,-410.26
"[28L, 99L, 231L, 371L]",0.43,MLR,0.11,-0.08,0.44,-0.1
"[23L, 103L, 118L, 143L, 144L, 147L]",0.62,MLR,0.06,-0.28,-0.27,-0.38
"[145L, 152L, 284L, 330L, 336L, 377L]",0.57,MLR,0.19,-0.05,-0.38,-0.22
"[68L, 143L, 346L, 356L, 359L]",0.57,MLR,0.12,-0.11,-0.3,-0.54
"[2L, 6L, 191L, 279L, 330L, 372L]",0.69,MLR,0.14,-0.11,-0.97,-0.72
"[76L, 124L, 195L, 241L, 342L]",0.55,MLR,0.16,-0.03,-0.33,-0.14
"[131L, 176L, 177L, 197L, 318L]",0.58,MLR,0.22,-0.06,-0.44,-0.31
"[28L, 99L, 191L, 262L, 287L, 306L, 372L]",0.6,MLR,0.31,-0.27,-0.22,-0.1
"[47L, 70L, 284L, 345L]",0.58,MLR,0.06,-0.13,-0.3,-0.03
"[51L, 61L, 143L, 146L, 264L, 304L, 375L]",0.54,MLR,0.25,-0.2,-0.01,0.11
"[2L, 38L, 52L, 144L, 155L, 158L, 195L, 270L, 276L, 373L]",0.61,MLR,0.33,0.02,-0.76,-0.85
"[56L, 71L, 110L, 153L, 185L, 326L, 382L]",0.57,MLR,0.11,-0.22,-0.15,-0.33
"[56L, 196L, 233L, 292L, 307L]",1.15,MLR,0.16,-0.21,-3.35,-2.17
"[15L, 30L, 97L]",0.54,MLR,0.05,-0.12,-0.15,-0.1
"[13L, 37L, 220L, 253L, 256L, 351L]",0.46,MLR,0.28,0.08,-0.02,-0.07
"[103L, 195L, 246L, 250L, 360L]",0.59,MLR,0.21,0.01,-0.61,-0.28
"[135L, 149L, 201L, 333L]",0.55,MLR,0.06,-0.35,0.23,-0.05
"[2L, 61L, 116L, 135L, 212L]",0.54,MLR,0.03,-0.26,0.12,-0.22
"[50L, 136L, 145L, 172L, 201L, 359L, 372L]",0.62,MLR,0.19,-0.12,-0.57,-0.21
"[14L, 37L, 72L, 301L, 329L, 367L, 377L]",0.57,MLR,0.08,-0.27,-0.05,-0.03
"[23L, 82L, 97L, 191L, 262L, 287L, 306L, 372L]",0.43,MLR,0.45,0.07,0.2,-0.9
"[1L, 38L, 71L, 197L, 287L, 313L, 364L, 366L, 378L]",0.58,MLR,0.26,-0.07,-0.39,-0.49
"[30L, 112L, 138L, 146L, 225L, 326L]",0.61,MLR,0.14,-0.15,-0.43,-0.26
"[17L, 121L, 155L, 204L, 268L, 319L, 325L, 336L]",0.75,MLR,0.33,-0.47,-0.7,-0.59
"[112L, 120L, 132L, 254L, 258L, 358L]",0.7,MLR,0.05,-0.25,-0.78,-0.85
"[9L, 20L, 47L, 237L, 322L]",0.55,MLR,0.05,-0.18,-0.05,0.18
"[43L, 51L, 218L, 338L]",0.61,MLR,0.11,-0.1,-0.54,-0.64
"[5L, 9L, 14L, 48L, 78L, 112L, 152L, 281L, 301L, 365L, 377L]",0.99,MLR,0.21,-0.14,-2.57,-1.87
